Date,Adj Close,High,Low,Open,aggregate_sentiment_mean,aggregate_sentiment_median,aggregate_sentiment_std,Target,TargetClass,TargetNextClose,Date
2024-04-08,439.28350830078125,442.5,439.20001220703125,441.4100036621094,0.05647630806213017,0.162014,0.10802912747952252,-2.051361083984375,0,440.90863037109375,2024-04-08
2024-04-09,440.90863037109375,443.239990234375,437.44000244140625,442.9599914550781,0.056174592025922794,0.1439695,0.1398169705460563,0.0601806640625,1,437.0601806640625,2024-04-09
2024-04-10,437.0601806640625,439.239990234375,436.2799987792969,437.0,0.037850925476660094,0.1625683,0.10707033655367405,3.77923583984375,1,444.03924560546875,2024-04-10
2024-04-11,444.03924560546875,446.3299865722656,437.9599914550781,440.260009765625,0.030057782585470087,0.12131025000000001,0.12592579116753577,-4.139556884765625,0,436.96044921875,2024-04-11
2024-04-12,436.96044921875,442.239990234375,436.8800048828125,441.1000061035156,0.04981268311965811,0.16252373333333334,0.0703599179407454,-12.287994384765625,0,429.7720031738281,2024-04-12
2024-04-15,429.7720031738281,442.1499938964844,430.2099914550781,442.05999755859375,0.04212428073635766,0.11478661538461539,0.09646582602047889,-1.088104248046875,0,429.8118896484375,2024-04-15
2024-04-16,429.8118896484375,433.760009765625,429.70001220703125,430.8999938964844,0.0421865188034188,0.16220886666666667,0.1460356202861829,-8.53240966796875,0,424.5675964355469,2024-04-16
2024-04-17,424.5675964355469,433.1199951171875,424.8999938964844,433.1000061035156,0.021515812809266757,0.090587875,0.14046212423956056,-4.3450927734375,0,422.1448974609375,2024-04-17
2024-04-18,422.1448974609375,428.239990234375,422.8299865722656,426.489990234375,0.052862451282051276,0.16551901666666669,0.13147580379170362,-8.808990478515625,0,413.4110107421875,2024-04-18
2024-04-19,413.4110107421875,422.75,413.07000732421875,422.2200012207031,0.03799459900793651,0.126212,0.08086822071980013,0.25860595703125,1,417.568603515625,2024-04-19
2024-04-22,417.568603515625,421.17999267578125,413.94000244140625,417.30999755859375,0.033459131382862155,0.1367665,0.1849835841587145,3.0299072265625,1,423.7998962402344,2024-04-22
2024-04-23,423.7998962402344,426.2799987792969,418.8699951171875,420.7699890136719,0.05382100089968512,0.1972523333333333,0.11834048239066396,-2.964385986328125,0,425.2356262207031,2024-04-23
2024-04-24,425.2356262207031,429.7300109863281,424.20001220703125,428.20001220703125,0.01346552849002849,0.062249,0.1584564699568283,3.941802978515625,1,423.1817932128906,2024-04-24
2024-04-25,423.1817932128906,425.32000732421875,418.1400146484375,419.239990234375,0.054503856532356544,0.16978370833333334,0.1503204109911423,2.092193603515625,1,429.7121887207031,2024-04-25
2024-04-26,429.7121887207031,432.54998779296875,426.9200134277344,427.6199951171875,0.05608354591922238,0.14337933333333333,0.10857150721736432,-1.67303466796875,0,431.45697021484375,2024-04-26
2024-04-29,431.45697021484375,433.760009765625,429.9800109863281,433.1300048828125,0.034238261192511193,0.142651,0.15939894284836684,-7.82867431640625,0,423.3213195800781,2024-04-29
2024-04-30,423.3213195800781,432.55999755859375,424.510009765625,431.1499938964844,0.03856868787138787,0.10149450000000002,0.12619549120563078,-2.889495849609375,0,420.260498046875,2024-04-30
