time_published,Adj Close,Al Jareeza,Associated Press,Barrons,Benzinga,Business Insider,Business Standard,CNBC,CNN,Canada Newswire,Cointelegraph,Decrypt.co,Financial News London,Financial Times,Forbes,Fox Business News,GlobeNewswire,Investing News Network,Investor Ideas,Investors Business Daily,Kiplinger,MarketWatch,Money Control,Money Morning,Motley Fool,New York Times,PR Newswire,PennyStocks.com,Reuters,South China Morning Post,StockMarket.com,Stocknews.com,The Atlantic,The Economist,The Financial Express,The Street,The Week News,UPI Business,Wall Street Journal,Zacks Commentary
2023-09-18,368.1351623535156,-1.0,-0.02634,-1.0,0.24820672727272727,0.029503,-1.0,0.08471925,-0.06811800000000001,0.446589,-1.0,-1.0,-1.0,-1.0,0.19436900000000001,0.147483,0.384722,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.078949,0.04593233333333333,0.313616,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2415031111111111
2023-09-19,367.3504943847656,-1.0,-0.12512700000000002,-1.0,0.2718666,-1.0,-1.0,-1.0,-0.12817333333333333,-1.0,-1.0,0.1870365,-1.0,-1.0,-0.03387199999999999,0.13713,0.115262,-1.0,-1.0,0.038853,-1.0,0.16516350000000002,-1.0,-1.0,0.10895633333333334,0.09309066666666667,0.36116099999999995,-1.0,0.069652,-1.0,-1.0,-1.0,-0.095629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1640628888888889
2023-09-20,362.056884765625,-1.0,0.182471,-1.0,0.1392998,0.2273125,-1.0,-1.0,-0.05164883333333333,-1.0,-1.0,-0.132583,0.165737,-1.0,0.093718,0.2003395,0.20095333333333332,-1.0,-1.0,-1.0,-1.0,0.035252,-1.0,-1.0,-1.0,-1.0,0.471438,-1.0,0.189982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17129382352941178
2023-09-21,355.42230224609375,-1.0,0.014399666666666663,0.116936,0.09573677777777778,0.18954316666666668,-1.0,-1.0,0.129966,-1.0,-1.0,0.14539924999999998,-1.0,-1.0,0.097829,0.110241,-1.0,0.334753,-1.0,0.117973,-1.0,0.264621,-1.0,-1.0,0.11507,0.011570999999999998,0.334877,-1.0,0.050101,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14934575
2023-09-22,355.47198486328125,-1.0,-1.0,-0.03745466666666666,0.10898159999999998,0.0339578,-1.0,0.120994,-0.0415305,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.141603,-1.0,-1.0,-1.0,0.099065,-1.0,-1.0,-1.0,-1.0,0.12615866666666667,-0.048159,0.22070044444444445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.159608,0.14699299999999998,-1.0,-1.0,0.12614084615384616
2023-09-25,357.1603698730469,-1.0,-1.0,-1.0,0.11518930000000001,0.20001675000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-0.108485,-1.0,-1.0,-1.0,0.057177,-1.0,0.370546,-1.0,-1.0,-1.0,0.048049499999999995,-1.0,-1.0,-1.0,0.06949520000000001,0.276615,-1.0,0.107813,-1.0,-1.0,0.303499,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17285813333333333
2023-09-26,351.79718017578125,-0.119616,0.08474533333333334,0.09566533333333334,0.1490884285714286,0.317703,-1.0,-1.0,0.085051,-1.0,-1.0,-1.0,-1.0,-1.0,-0.017956999999999997,-1.0,0.210465,-1.0,-1.0,-1.0,-1.0,-0.045778000000000006,-1.0,-1.0,0.015648000000000002,-0.014561000000000004,0.3369546666666667,-1.0,0.082663,-1.0,-1.0,-1.0,-0.014826,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.124718625
2023-09-27,352.6215515136719,0.20575,-0.287657,0.309012,0.2842983,0.1867256,-1.0,0.004732,0.04773,-1.0,0.020983500000000002,-1.0,-1.0,-1.0,0.291465,0.058068,0.3246375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.258785,0.11774899999999999,0.34274550000000004,-1.0,-1.0,-0.045192,-1.0,-1.0,0.034007,-1.0,-1.0,-1.0,0.158293,-1.0,-1.0,0.13913436363636364
2023-09-28,355.5713195800781,-1.0,0.078929,-1.0,0.15368683333333333,0.193612,-1.0,-0.07064,-0.050552125,-1.0,-0.028942,0.274131,-1.0,-1.0,0.1592815,-1.0,-1.0,-1.0,-1.0,0.288444,-1.0,-1.0,-1.0,-1.0,0.05512900000000001,0.067032,0.3388844,-1.0,-1.0,-1.0,-1.0,0.217237,-1.0,-1.0,-1.0,-1.0,0.255765,-1.0,-1.0,0.20624628571428572
2023-09-29,355.82952880859375,-1.0,-0.269865,-1.0,0.09695185714285715,0.060634,0.285702,-1.0,0.085522,-1.0,-1.0,-1.0,-1.0,-1.0,0.10082999999999999,-0.081098,0.231954,0.293143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21329800000000002,-1.0,0.1403081,-1.0,0.105627,-1.0,-1.0,-1.0,0.109351,-1.0,0.054261,0.076518,0.209218,-1.0,-1.0,0.12447280000000001
