Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,,
2023-09-01 00:00:00+00:00,4515.77001953125,4515.77001953125,4541.25,4501.35009765625,4530.60009765625,3246260000
2023-09-05 00:00:00+00:00,4496.830078125,4496.830078125,4514.2900390625,4496.009765625,4510.06005859375,3526250000
2023-09-06 00:00:00+00:00,4465.47998046875,4465.47998046875,4490.35009765625,4442.3798828125,4490.35009765625,3418850000
2023-09-07 00:00:00+00:00,4451.14013671875,4451.14013671875,4457.81005859375,4430.4599609375,4434.5498046875,3763760000
2023-09-08 00:00:00+00:00,4457.490234375,4457.490234375,4473.52978515625,4448.3798828125,4451.2998046875,3259290000
2023-09-11 00:00:00+00:00,4487.4599609375,4487.4599609375,4490.77001953125,4467.89013671875,4480.97998046875,3369920000
2023-09-12 00:00:00+00:00,4461.89990234375,4461.89990234375,4487.10986328125,4456.830078125,4473.27001953125,3435740000
2023-09-13 00:00:00+00:00,4467.43994140625,4467.43994140625,4479.39013671875,4453.52001953125,4462.64990234375,3529430000
2023-09-14 00:00:00+00:00,4505.10009765625,4505.10009765625,4511.990234375,4478.68994140625,4487.77978515625,3648720000
2023-09-15 00:00:00+00:00,4450.31982421875,4450.31982421875,4497.97998046875,4447.2099609375,4497.97998046875,6932230000
2023-09-18 00:00:00+00:00,4453.52978515625,4453.52978515625,4466.35986328125,4442.10986328125,4445.1298828125,3161230000
2023-09-19 00:00:00+00:00,4443.9501953125,4443.9501953125,4449.85009765625,4416.60986328125,4445.41015625,3614880000
2023-09-20 00:00:00+00:00,4402.2001953125,4402.2001953125,4461.02978515625,4401.3798828125,4452.81005859375,3308450000
2023-09-21 00:00:00+00:00,4330.0,4330.0,4375.7001953125,4329.169921875,4374.35986328125,3662340000
2023-09-22 00:00:00+00:00,4320.06005859375,4320.06005859375,4357.39990234375,4316.490234375,4341.740234375,3349570000
2023-09-25 00:00:00+00:00,4337.43994140625,4337.43994140625,4338.509765625,4302.7001953125,4310.6201171875,3195650000
